"age","fishery","value","length","sd_length","length_upper","length_lower"
1,1,0,10,2.8826,15.649896,4.350104
2,1,0,24.7454,3.5668,31.736328,17.754472
3,1,0.0848,36.8601,4.2488,45.187748,28.532452
4,1,1,46.8137,4.9057,56.428872,37.198528
5,1,0.9788,54.9915,5.5208,65.812268,44.170732
6,1,0.5002,61.7104,6.0834,73.633864,49.786936
7,1,0.279,67.2306,6.5883,80.143668,54.317532
8,1,0.2074,71.7661,7.0343,85.553328,57.978872
9,1,0.1855,75.4924,7.4232,90.041872,60.942928
10,1,0.1798,78.5539,7.7589,93.761344,63.346456
11,1,0.1798,81.0693,8.0459,96.839264,65.299336
12,1,0.1814,83.1359,8.2897,99.383712,66.888088
13,1,0.183,84.8339,8.4955,101.48508,68.18272
14,1,0.184,86.2289,8.6684,103.218964,69.238836
15,1,0.1842,87.3751,8.8131,104.648776,70.101424
16,1,0.1842,88.3167,8.9338,105.826948,70.806452
1,2,0,10,2.8826,15.649896,4.350104
2,2,0,24.7454,3.5668,31.736328,17.754472
3,2,0.0848,36.8601,4.2488,45.187748,28.532452
4,2,1,46.8137,4.9057,56.428872,37.198528
5,2,0.9788,54.9915,5.5208,65.812268,44.170732
6,2,0.5002,61.7104,6.0834,73.633864,49.786936
7,2,0.279,67.2306,6.5883,80.143668,54.317532
8,2,0.2074,71.7661,7.0343,85.553328,57.978872
9,2,0.1855,75.4924,7.4232,90.041872,60.942928
10,2,0.1798,78.5539,7.7589,93.761344,63.346456
11,2,0.1798,81.0693,8.0459,96.839264,65.299336
12,2,0.1814,83.1359,8.2897,99.383712,66.888088
13,2,0.183,84.8339,8.4955,101.48508,68.18272
14,2,0.184,86.2289,8.6684,103.218964,69.238836
15,2,0.1842,87.3751,8.8131,104.648776,70.101424
16,2,0.1842,88.3167,8.9338,105.826948,70.806452
1,3,0,10,2.8826,15.649896,4.350104
2,3,0,24.7454,3.5668,31.736328,17.754472
3,3,0.0338,36.8601,4.2488,45.187748,28.532452
4,3,0.6067,46.8137,4.9057,56.428872,37.198528
5,3,1,54.9915,5.5208,65.812268,44.170732
6,3,0.6649,61.7104,6.0834,73.633864,49.786936
7,3,0.33,67.2306,6.5883,80.143668,54.317532
8,3,0.1616,71.7661,7.0343,85.553328,57.978872
9,3,0.089,75.4924,7.4232,90.041872,60.942928
10,3,0.0572,78.5539,7.7589,93.761344,63.346456
11,3,0.0423,81.0693,8.0459,96.839264,65.299336
12,3,0.035,83.1359,8.2897,99.383712,66.888088
13,3,0.0314,84.8339,8.4955,101.48508,68.18272
14,3,0.0298,86.2289,8.6684,103.218964,69.238836
15,3,0.0294,87.3751,8.8131,104.648776,70.101424
16,3,0.0294,88.3167,8.9338,105.826948,70.806452
1,4,3e-04,10,2.8826,15.649896,4.350104
2,4,0.0011,24.7454,3.5668,31.736328,17.754472
3,4,0.0028,36.8601,4.2488,45.187748,28.532452
4,4,0.0053,46.8137,4.9057,56.428872,37.198528
5,4,0.0212,54.9915,5.5208,65.812268,44.170732
6,4,0.0949,61.7104,6.0834,73.633864,49.786936
7,4,0.2855,67.2306,6.5883,80.143668,54.317532
8,4,0.535,71.7661,7.0343,85.553328,57.978872
9,4,0.7393,75.4924,7.4232,90.041872,60.942928
10,4,0.8702,78.5539,7.7589,93.761344,63.346456
11,4,0.9422,81.0693,8.0459,96.839264,65.299336
12,4,0.9776,83.1359,8.2897,99.383712,66.888088
13,4,0.9932,84.8339,8.4955,101.48508,68.18272
14,4,0.9988,86.2289,8.6684,103.218964,69.238836
15,4,1,87.3751,8.8131,104.648776,70.101424
16,4,1,88.3167,8.9338,105.826948,70.806452
1,5,0.0065,10,2.8826,15.649896,4.350104
2,5,0.0058,24.7454,3.5668,31.736328,17.754472
3,5,0.0415,36.8601,4.2488,45.187748,28.532452
4,5,0.4443,46.8137,4.9057,56.428872,37.198528
5,5,1,54.9915,5.5208,65.812268,44.170732
6,5,0.8744,61.7104,6.0834,73.633864,49.786936
7,5,0.6111,67.2306,6.5883,80.143668,54.317532
8,5,0.4494,71.7661,7.0343,85.553328,57.978872
9,5,0.3606,75.4924,7.4232,90.041872,60.942928
10,5,0.3105,78.5539,7.7589,93.761344,63.346456
11,5,0.2821,81.0693,8.0459,96.839264,65.299336
12,5,0.2662,83.1359,8.2897,99.383712,66.888088
13,5,0.2578,84.8339,8.4955,101.48508,68.18272
