Age,Lhat
0,16.4943504617449
0.01,17.2035802346751
0.02,17.9051164183531
0.03,18.5990424713671
0.04,19.2854409469627
0.05,19.9643935028632
0.06,20.6359809109849
0.07,21.3002830670456
0.08,21.9573790000694
0.09,22.6073468817891
0.1,23.2502640359449
0.11,23.8862069474843
0.12,24.5152512716604
0.13,25.1374718430327
0.14,25.7529426843695
0.15,26.3617370154544
0.16,26.9639272617967
0.17,27.5595850632476
0.18,28.1487812825229
0.19,28.731586013633
0.2,29.3080685902222
0.21,29.8782975938162
0.22,30.4423408619818
0.23,31.0002654963967
0.24,31.5521378708322
0.25,32.0980236390499
0.26,32.6379877426117
0.27,33.1720944186059
0.28,33.7004072072891
0.29,34.2229889596454
0.3,34.7399018448634
0.31,35.2512073577322
0.32,35.7569663259569
0.33,36.2572389173957
0.34,36.7520846472171
0.35,37.2415623849805
0.36,37.7257303616394
0.37,38.2046461764691
0.38,38.6783668039192
0.39,39.1469486003909
0.4,39.6104473109423
0.41,40.0689180759195
0.42,40.5224154375167
0.43,40.9709933462649
0.44,41.4147051674499
0.45,41.8536036874611
0.46,42.2877411200713
0.47,42.7171691126481
0.48,43.1419387522984
0.49,43.562100571946
0.5,43.9777045563431
0.51,44.3888001480167
0.52,44.795436253151
0.53,45.197661247405
0.54,45.5955229816678
0.55,45.9890687877514
0.56,46.3783454840211
0.57,46.7633993809656
0.58,47.1442762867062
0.59,47.5210215124467
0.6,47.8936798778631
0.61,48.2622957164366
0.62,48.626912880727
0.63,48.98757474759
0.64,49.3443242233373
0.65,49.6972037488413
0.66,50.0462553045838
0.67,50.3915204156505
0.68,50.7330401566705
0.69,51.0708551567037
0.7,51.4050056040733
0.71,51.7355312511474
0.72,52.062471419068
0.73,52.3858650024289
0.74,52.7057504739025
0.75,53.0221658888174
0.76,53.3351488896849
0.77,53.6447367106777
0.78,53.9509661820593
0.79,54.2538737345654
0.8,54.5534954037383
0.81,54.8498668342133
0.82,55.1430232839596
0.83,55.4329996284748
0.84,55.7198303649337
0.85,56.0035496162922
0.86,56.284191135347
