Day,Year,Lhat,SE,Lower,Upper,sigmaPred,loPred,upPred
0,0,28.5343050616357,0.678256263597353,27.2049472126962,29.8636629105752,1.6,25.3983626863716,31.6702474368998
1,0.00273972602739726,28.6338876317831,0.673358171136139,27.3141298676605,29.9536453959057,1.60097846257476,25.4960275051123,31.771747758454
2,0.00547945205479452,28.7332492519892,0.668490038281189,27.4230328529342,30.0434656510441,1.60195752351764,25.5934702011316,31.8730283028467
3,0.00821917808219178,28.832390412489,0.663651797688615,27.531656790744,30.1331240342339,1.60293718319459,25.6906912639475,31.9740895610304
4,0.010958904109589,28.93131160243,0.658843382607474,27.6400023010668,30.2226209037931,1.60391744197174,25.7876911819897,32.0749320228702
5,0.0136986301369863,29.0300133098743,0.654064726880218,27.748070001631,30.3119566181175,1.60489830021547,25.8844704426024,32.1755561771461
6,0.0164383561643836,29.1284960218012,0.649315764943055,27.8558605079187,30.4011315356836,1.60587975829238,25.9810295320462,32.2759625115561
7,0.0191780821917808,29.2267602241094,0.644596431826204,27.963374433167,30.4901460150518,1.60686181656928,26.077368935501,32.3761515127178
8,0.0219178082191781,29.3248064016196,0.639906663154049,28.0706123883704,30.5790004148687,1.60784447541323,26.173489137068,32.4761236661712
9,0.0246575342465753,29.4226350380768,0.635246395145184,28.1775749822833,30.6676950938702,1.6088277351915,26.2693906197723,32.5758794563812
10,0.0273972602739726,29.5202466161525,0.630615564612339,28.2842628214219,30.7562304108831,1.60981159627157,26.3650738655653,32.6754193667397
11,0.0301369863013699,29.6176416174475,0.626014108962181,28.3906765100677,30.8446067248274,1.61079605902117,26.460539355327,32.7747438795681
12,0.0328767123287671,29.7148205224941,0.621441966195,28.4968166502701,30.932824394718,1.61178112380824,26.5557875688684,32.8738534761197
13,0.0356164383561644,29.811783810758,0.616899074904237,28.6026838418496,31.0208837796664,1.61276679100096,26.6508189849339,32.9727486365821
14,0.0383561643835616,29.9085319606415,0.612385374275888,28.7082786824017,31.1087852388813,1.61375306096771,26.7456340812035,33.0714298400795
