source,age_yrs,age_qtrs,FL_cm
otolith,0.252054795,1.008219178,30
otolith,0.287671233,1.150684932,30
otolith,0.219178082,0.876712329,31
otolith,0.271232877,1.084931507,31
otolith,0.279452055,1.117808219,31
otolith,0.326027397,1.304109589,31
otolith,0.260273973,1.04109589,32
otolith,0.284931507,1.139726027,32
otolith,0.265753425,1.063013699,33
otolith,0.315068493,1.260273973,33
otolith,0.315068493,1.260273973,36
otolith,0.265753425,1.063013699,37
otolith,0.378082192,1.512328767,37
otolith,0.364383562,1.457534247,38
otolith,0.383561644,1.534246575,38
otolith,0.350684932,1.402739726,39
otolith,0.353424658,1.41369863,39
otolith,0.383561644,1.534246575,40
otolith,0.405479452,1.621917808,40
otolith,0.383561644,1.534246575,41
otolith,0.402739726,1.610958904,41
otolith,0.410958904,1.643835616,41
otolith,0.419178082,1.676712329,42
otolith,0.383561644,1.534246575,43
otolith,0.41369863,1.654794521,43
otolith,0.449315068,1.797260274,43
otolith,0.512328767,2.049315068,43
otolith,0.421917808,1.687671233,44
otolith,0.484931507,1.939726027,45
otolith,0.512328767,2.049315068,45
otolith,0.517808219,2.071232877,45
otolith,0.663013699,2.652054795,45
otolith,0.504109589,2.016438356,46
otolith,0.58630137,2.345205479,48
otolith,0.643835616,2.575342466,48
otolith,0.646575342,2.58630137,48
otolith,0.534246575,2.136986301,49
otolith,0.616438356,2.465753425,50
otolith,0.630136986,2.520547945,50
otolith,0.673972603,2.695890411,50
otolith,0.745205479,2.980821918,51
otolith,0.616438356,2.465753425,52
otolith,0.679452055,2.717808219,52
otolith,0.778082192,3.112328767,53
otolith,0.849315068,3.397260274,53
otolith,0.791780822,3.167123288,54
otolith,0.843835616,3.375342466,54
otolith,0.879452055,3.517808219,54
otolith,0.890410959,3.561643836,54
otolith,0.868493151,3.473972603,55
otolith,0.876712329,3.506849315,55
otolith,0.97260274,3.890410959,55
otolith,0.84109589,3.364383562,56
otolith,0.947945205,3.791780822,56
otolith,1.005479452,4.021917808,56
otolith,0.931506849,3.726027397,59
otolith,0.879452055,3.517808219,61
otolith,0.997260274,3.989041096,66
otolith,1.117808219,4.471232877,67
otolith,1.37260274,5.490410959,68
otolith,1.331506849,5.326027397,69
tag_recap,0.611978328,2.447913311,44.00
tag_recap,0.625676958,2.502707832,43.00
tag_recap,0.633589844,2.534359376,49.00
tag_recap,0.639975522,2.559902089,49.00
tag_recap,0.646154936,2.584619745,48.00
tag_recap,0.652767926,2.611071705,44.00
tag_recap,0.653845912,2.615383649,54.00
tag_recap,0.655507652,2.622030609,45.50
tag_recap,0.656413878,2.625655514,50.00
tag_recap,0.664633057,2.658532226,52.00
tag_recap,0.666466556,2.665866225,54.60
tag_recap,0.667544542,2.67017817,61.00
tag_recap,0.681071413,2.724285651,48.50
tag_recap,0.686874767,2.747499067,54.00
tag_recap,0.691124091,2.764496362,47.00
tag_recap,0.692202077,2.768808307,48.40
tag_recap,0.692605672,2.77042269,48.00
tag_recap,0.695934547,2.783738187,48.00
tag_recap,0.701203865,2.804815459,47.00
tag_recap,0.708468673,2.833874692,45.00
tag_recap,0.708468673,2.833874692,48.00
tag_recap,0.709633177,2.838532707,53.00
tag_recap,0.712372903,2.849491611,48.00
tag_recap,0.717852355,2.871409419,53.00
tag_recap,0.719751479,2.879005917,48.50
tag_recap,0.719916713,2.879666851,46.00
tag_recap,0.722491205,2.889964821,61.50
tag_recap,0.725861399,2.903445596,40.00
tag_recap,0.730710383,2.922841533,52.00
tag_recap,0.730875617,2.923502467,49.00
tag_recap,0.733615343,2.934461371,48.00
tag_recap,0.733615343,2.934461371,53.00
tag_recap,0.736037693,2.944150772,52.00
tag_recap,0.736820303,2.947281213,45.70
tag_recap,0.736844279,2.947377117,47.00
tag_recap,0.744085111,2.976340445,56.70
tag_recap,0.745249615,2.980998461,45.00
tag_recap,0.747148739,2.988594958,48.00
tag_recap,0.749736323,2.998945293,50.50
tag_recap,0.750053699,3.000214796,50.00
tag_recap,0.75115066,3.00460264,49.60
tag_recap,0.753890386,3.015561544,47.00
tag_recap,0.754081273,3.016325092,48.00
tag_recap,0.756208519,3.024834077,50.00
tag_recap,0.756208519,3.024834077,52.00
tag_recap,0.760523468,3.04209387,55.00
tag_recap,0.761687971,3.046751885,51.00
tag_recap,0.763263194,3.053052774,52.80
