age,len
0.252054795,30
0.287671233,30
0.219178082,31
0.271232877,31
0.279452055,31
0.326027397,31
0.260273973,32
0.284931507,32
0.265753425,33
0.315068493,33
0.315068493,36
0.265753425,37
0.378082192,37
0.364383562,38
0.383561644,38
0.350684932,39
0.353424658,39
0.383561644,40
0.405479452,40
0.383561644,41
0.402739726,41
0.410958904,41
0.419178082,42
0.383561644,43
0.41369863,43
0.449315068,43
0.512328767,43
0.421917808,44
0.484931507,45
0.512328767,45
0.517808219,45
0.663013699,45
0.504109589,46
0.58630137,48
0.643835616,48
0.646575342,48
0.534246575,49
0.616438356,50
0.630136986,50
0.673972603,50
0.745205479,51
0.616438356,52
0.679452055,52
0.778082192,53
0.849315068,53
0.791780822,54
0.843835616,54
0.879452055,54
0.890410959,54
0.868493151,55
0.876712329,55
0.97260274,55
0.84109589,56
0.947945205,56
1.005479452,56
0.931506849,59
0.879452055,61
0.997260274,66
1.117808219,67
1.37260274,68
1.331506849,69
